,Force(N),RPM,Volts,Amps
0,55.0,750.0,55.0,11.715001815519056
1,46.29999999999999,450.0,46.29999999999999,6.1349949815992675
2,55.0,770.0,55.0,11.542759989072161
3,47.05,470.0,47.05,6.720000001224266
4,44.85,390.0,44.85,5.580000000000083
5,24.74999999999784,10.0,24.74999999999784,1.4519995553359757
6,55.0,810.0,55.0,8.839573168230405
7,52.0,610.0,52.0,8.700013714653773
8,37.5,270.0,37.5,2.98550000001907
9,55.0,710.0,55.0,8.895000000002195
10,32.0,210.0,32.0,2.669996560060419
11,51.85,870.0,51.85,9.33545454545274
12,47.95,950.0,47.95,7.607012197623295
13,51.699999999999996,590.0,51.699999999999996,8.233516483282653
14,25.099999999999998,150.0,25.099999999999998,1.5627272735944344
15,55.0,670.0,55.0,9.464999999993143
16,52.150000000000006,850.0,52.150000000000006,9.212727272726394
17,45.95,410.0,45.95,6.0555000189683685
18,49.4,910.0,49.4,7.428671327436423
19,51.400000000000006,570.0,51.400000000000006,8.955072324011637
20,44.05,350.0,44.05,4.6500464396285315
21,52.25,650.0,52.25,8.655000000005037
22,38.95000000286734,290.0,38.95000000286734,3.734999251336898
23,52.39999999999999,830.0,52.39999999999999,9.675000049050537
24,50.60000000000001,550.0,50.60000000000001,7.75499423165589
25,33.35,230.0,33.35,3.9748429319415313
26,55.0,730.0,55.0,9.614095744680851
27,48.64999999999999,490.0,48.64999999999999,6.554999716968607
28,52.050000000000004,630.0,52.050000000000004,8.99996352585177
29,50.00000000000003,530.0,50.00000000000003,7.424999999979997
30,45.85,430.0,45.85,5.474999999998817
31,45.0,370.0,45.0,5.324999613481774
32,31.849074746008707,190.0,31.849074746008707,4.000471698112859
33,40.35,310.0,40.35,5.790001013058648
34,55.0,690.0,55.0,9.267870662460568
35,48.3,930.0,48.3,7.902986111288262
36,50.45017605633803,890.0,50.45017605633803,8.850416664236628
37,35.699999999999996,250.0,35.699999999999996,4.124377035830618
38,55.0,790.0,55.0,10.215000043477836
39,42.5,330.0,42.5,5.438307715386092
40,28.199999998085776,170.0,28.199999998085776,2.3555084745760357
41,49.25,510.0,49.25,7.168402777905327
